company_id,company_name,dimension,dimension_gap,initiative_id,initiative_name,impact,effort,duration_months,phase,priority_score,description
ENT-047,企业BV,治理与伦理,1.5,I15,AI伦理审查委员会,3,2,3,优化期,2.25,组建跨部门伦理审查团队，定期审核AI应用
ENT-029,企业BD,治理与伦理,1.5,I15,AI伦理审查委员会,3,2,3,优化期,2.25,组建跨部门伦理审查团队，定期审核AI应用
ENT-040,企业BO,治理与伦理,1.5,I15,AI伦理审查委员会,3,2,3,优化期,2.25,组建跨部门伦理审查团队，定期审核AI应用
ENT-006,企业AG,治理与伦理,1.67,I09,建立AI治理框架,4,3,4,建设期,2.23,制定AI使用规范、审核流程和责任机制
ENT-046,企业BU,治理与伦理,1.67,I09,建立AI治理框架,4,3,4,建设期,2.23,制定AI使用规范、审核流程和责任机制
ENT-008,企业AI,人才与组织,1.47,I08,全员AI素养培训,3,2,3,建设期,2.2,分层次开展AI认知、工具使用、场景创新培训
ENT-048,企业BW,治理与伦理,1.47,I15,AI伦理审查委员会,3,2,3,优化期,2.2,组建跨部门伦理审查团队，定期审核AI应用
ENT-021,企业AV,治理与伦理,1.46,I15,AI伦理审查委员会,3,2,3,优化期,2.19,组建跨部门伦理审查团队，定期审核AI应用
ENT-019,企业AT,治理与伦理,1.63,I09,建立AI治理框架,4,3,4,建设期,2.17,制定AI使用规范、审核流程和责任机制
ENT-033,企业BH,战略与愿景,1.3,I02,成立AI卓越中心(CoE),5,3,4,基础期,2.17,建立跨职能AI团队，统筹全公司AI推进
ENT-006,企业AG,人才与组织,1.63,I07,AI人才引进计划,4,3,4,基础期,2.17,招募数据科学家、ML工程师等核心人才
ENT-049,企业BX,人才与组织,1.6,I07,AI人才引进计划,4,3,4,基础期,2.13,招募数据科学家、ML工程师等核心人才
ENT-036,企业BK,文化与创新,1.6,I12,AI创新孵化器,4,3,5,优化期,2.13,设立内部创新基金和快速实验机制
ENT-049,企业BX,治理与伦理,1.6,I09,建立AI治理框架,4,3,4,建设期,2.13,制定AI使用规范、审核流程和责任机制
ENT-029,企业BD,战略与愿景,1.27,I02,成立AI卓越中心(CoE),5,3,4,基础期,2.12,建立跨职能AI团队，统筹全公司AI推进
ENT-043,企业BR,人才与组织,1.4,I08,全员AI素养培训,3,2,3,建设期,2.1,分层次开展AI认知、工具使用、场景创新培训
ENT-018,企业AS,人才与组织,1.4,I08,全员AI素养培训,3,2,3,建设期,2.1,分层次开展AI认知、工具使用、场景创新培训
ENT-022,企业AW,治理与伦理,1.4,I15,AI伦理审查委员会,3,2,3,优化期,2.1,组建跨部门伦理审查团队，定期审核AI应用
ENT-036,企业BK,人才与组织,1.4,I08,全员AI素养培训,3,2,3,建设期,2.1,分层次开展AI认知、工具使用、场景创新培训
ENT-015,企业AP,人才与组织,1.56,I07,AI人才引进计划,4,3,4,基础期,2.08,招募数据科学家、ML工程师等核心人才
ENT-012,企业AM,战略与愿景,1.24,I02,成立AI卓越中心(CoE),5,3,4,基础期,2.07,建立跨职能AI团队，统筹全公司AI推进
ENT-016,企业AQ,战略与愿景,1.24,I02,成立AI卓越中心(CoE),5,3,4,基础期,2.07,建立跨职能AI团队，统筹全公司AI推进
ENT-043,企业BR,治理与伦理,1.37,I15,AI伦理审查委员会,3,2,3,优化期,2.06,组建跨部门伦理审查团队，定期审核AI应用
ENT-038,企业BM,人才与组织,1.37,I08,全员AI素养培训,3,2,3,建设期,2.06,分层次开展AI认知、工具使用、场景创新培训
ENT-019,企业AT,人才与组织,1.37,I08,全员AI素养培训,3,2,3,建设期,2.06,分层次开展AI认知、工具使用、场景创新培训
ENT-020,企业AU,人才与组织,1.37,I08,全员AI素养培训,3,2,3,建设期,2.06,分层次开展AI认知、工具使用、场景创新培训
ENT-020,企业AU,数据基础,1.63,I03,数据质量治理项目,5,4,6,基础期,2.04,建立数据质量标准和清洗流程
ENT-024,企业AY,治理与伦理,1.53,I09,建立AI治理框架,4,3,4,建设期,2.04,制定AI使用规范、审核流程和责任机制
ENT-010,企业AK,数据基础,1.63,I03,数据质量治理项目,5,4,6,基础期,2.04,建立数据质量标准和清洗流程
ENT-040,企业BO,治理与伦理,1.5,I09,建立AI治理框架,4,3,4,建设期,2.0,制定AI使用规范、审核流程和责任机制
ENT-017,企业AR,战略与愿景,1.2,I02,成立AI卓越中心(CoE),5,3,4,基础期,2.0,建立跨职能AI团队，统筹全公司AI推进
ENT-047,企业BV,治理与伦理,1.5,I09,建立AI治理框架,4,3,4,建设期,2.0,制定AI使用规范、审核流程和责任机制
ENT-029,企业BD,治理与伦理,1.5,I09,建立AI治理框架,4,3,4,建设期,2.0,制定AI使用规范、审核流程和责任机制
ENT-026,企业BA,数据基础,1.57,I03,数据质量治理项目,5,4,6,基础期,1.96,建立数据质量标准和清洗流程
ENT-008,企业AI,人才与组织,1.47,I07,AI人才引进计划,4,3,4,基础期,1.96,招募数据科学家、ML工程师等核心人才
ENT-022,企业AW,文化与创新,1.47,I12,AI创新孵化器,4,3,5,优化期,1.96,设立内部创新基金和快速实验机制
ENT-046,企业BU,文化与创新,1.47,I12,AI创新孵化器,4,3,5,优化期,1.96,设立内部创新基金和快速实验机制
ENT-048,企业BW,治理与伦理,1.47,I09,建立AI治理框架,4,3,4,建设期,1.96,制定AI使用规范、审核流程和责任机制
ENT-021,企业AV,治理与伦理,1.46,I09,建立AI治理框架,4,3,4,建设期,1.95,制定AI使用规范、审核流程和责任机制
ENT-047,企业BV,文化与创新,1.46,I12,AI创新孵化器,4,3,5,优化期,1.95,设立内部创新基金和快速实验机制
ENT-034,企业BI,治理与伦理,1.3,I15,AI伦理审查委员会,3,2,3,优化期,1.95,组建跨部门伦理审查团队，定期审核AI应用
ENT-047,企业BV,战略与愿景,1.17,I02,成立AI卓越中心(CoE),5,3,4,基础期,1.95,建立跨职能AI团队，统筹全公司AI推进
ENT-024,企业AY,战略与愿景,1.17,I02,成立AI卓越中心(CoE),5,3,4,基础期,1.95,建立跨职能AI团队，统筹全公司AI推进
ENT-032,企业BG,治理与伦理,1.3,I15,AI伦理审查委员会,3,2,3,优化期,1.95,组建跨部门伦理审查团队，定期审核AI应用
ENT-005,企业AF,数据基础,1.53,I03,数据质量治理项目,5,4,6,基础期,1.91,建立数据质量标准和清洗流程
ENT-033,企业BH,数据基础,1.53,I03,数据质量治理项目,5,4,6,基础期,1.91,建立数据质量标准和清洗流程
ENT-048,企业BW,文化与创新,1.43,I12,AI创新孵化器,4,3,5,优化期,1.91,设立内部创新基金和快速实验机制
ENT-025,企业AZ,文化与创新,1.43,I12,AI创新孵化器,4,3,5,优化期,1.91,设立内部创新基金和快速实验机制
ENT-015,企业AP,数据基础,1.9,I14,数据开放与共享机制,3,3,4,建设期,1.9,建立内部数据共享目录和API标准
ENT-035,企业BJ,治理与伦理,1.27,I15,AI伦理审查委员会,3,2,3,优化期,1.9,组建跨部门伦理审查团队，定期审核AI应用
ENT-044,企业BS,治理与伦理,1.27,I15,AI伦理审查委员会,3,2,3,优化期,1.9,组建跨部门伦理审查团队，定期审核AI应用
ENT-007,企业AH,治理与伦理,1.27,I15,AI伦理审查委员会,3,2,3,优化期,1.9,组建跨部门伦理审查团队，定期审核AI应用
ENT-022,企业AW,治理与伦理,1.4,I09,建立AI治理框架,4,3,4,建设期,1.87,制定AI使用规范、审核流程和责任机制
ENT-018,企业AS,人才与组织,1.4,I07,AI人才引进计划,4,3,4,基础期,1.87,招募数据科学家、ML工程师等核心人才
ENT-039,企业BN,文化与创新,1.4,I12,AI创新孵化器,4,3,5,优化期,1.87,设立内部创新基金和快速实验机制
ENT-038,企业BM,文化与创新,1.4,I12,AI创新孵化器,4,3,5,优化期,1.87,设立内部创新基金和快速实验机制
ENT-007,企业AH,文化与创新,1.4,I12,AI创新孵化器,4,3,5,优化期,1.87,设立内部创新基金和快速实验机制
ENT-036,企业BK,人才与组织,1.4,I07,AI人才引进计划,4,3,4,基础期,1.87,招募数据科学家、ML工程师等核心人才
ENT-043,企业BR,人才与组织,1.4,I07,AI人才引进计划,4,3,4,基础期,1.87,招募数据科学家、ML工程师等核心人才
ENT-001,企业AB,治理与伦理,1.24,I15,AI伦理审查委员会,3,2,3,优化期,1.86,组建跨部门伦理审查团队，定期审核AI应用
ENT-033,企业BH,人才与组织,1.23,I08,全员AI素养培训,3,2,3,建设期,1.84,分层次开展AI认知、工具使用、场景创新培训
ENT-040,企业BO,数据基础,1.47,I03,数据质量治理项目,5,4,6,基础期,1.84,建立数据质量标准和清洗流程
ENT-012,企业AM,人才与组织,1.23,I08,全员AI素养培训,3,2,3,建设期,1.84,分层次开展AI认知、工具使用、场景创新培训
ENT-043,企业BR,数据基础,1.47,I03,数据质量治理项目,5,4,6,基础期,1.84,建立数据质量标准和清洗流程
ENT-020,企业AU,人才与组织,1.37,I07,AI人才引进计划,4,3,4,基础期,1.83,招募数据科学家、ML工程师等核心人才
ENT-038,企业BM,人才与组织,1.37,I07,AI人才引进计划,4,3,4,基础期,1.83,招募数据科学家、ML工程师等核心人才
ENT-019,企业AT,人才与组织,1.37,I07,AI人才引进计划,4,3,4,基础期,1.83,招募数据科学家、ML工程师等核心人才
ENT-043,企业BR,治理与伦理,1.37,I09,建立AI治理框架,4,3,4,建设期,1.83,制定AI使用规范、审核流程和责任机制
ENT-011,企业AL,人才与组织,1.2,I08,全员AI素养培训,3,2,3,建设期,1.8,分层次开展AI认知、工具使用、场景创新培训
ENT-008,企业AI,治理与伦理,1.2,I15,AI伦理审查委员会,3,2,3,优化期,1.8,组建跨部门伦理审查团队，定期审核AI应用
ENT-018,企业AS,治理与伦理,1.2,I15,AI伦理审查委员会,3,2,3,优化期,1.8,组建跨部门伦理审查团队，定期审核AI应用
ENT-011,企业AL,技术能力,1.8,I05,部署MLOps平台,4,4,6,建设期,1.8,实现模型开发、部署、监控的全流程自动化
ENT-025,企业AZ,数据基础,1.43,I03,数据质量治理项目,5,4,6,基础期,1.79,建立数据质量标准和清洗流程
ENT-045,企业BT,治理与伦理,1.17,I15,AI伦理审查委员会,3,2,3,优化期,1.76,组建跨部门伦理审查团队，定期审核AI应用
ENT-021,企业AV,数据基础,1.4,I03,数据质量治理项目,5,4,6,基础期,1.75,建立数据质量标准和清洗流程
ENT-004,企业AE,人才与组织,1.16,I08,全员AI素养培训,3,2,3,建设期,1.74,分层次开展AI认知、工具使用、场景创新培训
ENT-041,企业BP,战略与愿景,0.87,I13,AI场景快速验证,4,2,2,基础期,1.74,选择3-5个高价值场景进行POC验证
ENT-041,企业BP,战略与愿景,0.87,I01,制定AI战略白皮书,4,2,3,基础期,1.74,明确AI愿景、目标和KPI，获得高管共识
ENT-032,企业BG,治理与伦理,1.3,I09,建立AI治理框架,4,3,4,建设期,1.73,制定AI使用规范、审核流程和责任机制
ENT-034,企业BI,治理与伦理,1.3,I09,建立AI治理框架,4,3,4,建设期,1.73,制定AI使用规范、审核流程和责任机制
ENT-006,企业AG,文化与创新,1.3,I12,AI创新孵化器,4,3,5,优化期,1.73,设立内部创新基金和快速实验机制
ENT-046,企业BU,数据基础,1.37,I03,数据质量治理项目,5,4,6,基础期,1.71,建立数据质量标准和清洗流程
ENT-010,企业AK,治理与伦理,1.7,I10,AI风险评估体系,3,3,3,优化期,1.7,建立AI模型风险的识别、评估和缓解机制
ENT-011,企业AL,文化与创新,1.27,I12,AI创新孵化器,4,3,5,优化期,1.69,设立内部创新基金和快速实验机制
ENT-023,企业AX,文化与创新,1.27,I12,AI创新孵化器,4,3,5,优化期,1.69,设立内部创新基金和快速实验机制
ENT-044,企业BS,治理与伦理,1.27,I09,建立AI治理框架,4,3,4,建设期,1.69,制定AI使用规范、审核流程和责任机制
ENT-044,企业BS,文化与创新,1.27,I12,AI创新孵化器,4,3,5,优化期,1.69,设立内部创新基金和快速实验机制
ENT-037,企业BL,人才与组织,1.13,I08,全员AI素养培训,3,2,3,建设期,1.69,分层次开展AI认知、工具使用、场景创新培训
ENT-035,企业BJ,治理与伦理,1.27,I09,建立AI治理框架,4,3,4,建设期,1.69,制定AI使用规范、审核流程和责任机制
ENT-007,企业AH,治理与伦理,1.27,I09,建立AI治理框架,4,3,4,建设期,1.69,制定AI使用规范、审核流程和责任机制
ENT-030,企业BE,数据基础,1.34,I03,数据质量治理项目,5,4,6,基础期,1.68,建立数据质量标准和清洗流程
ENT-028,企业BC,数据基础,1.34,I03,数据质量治理项目,5,4,6,基础期,1.68,建立数据质量标准和清洗流程
ENT-006,企业AG,治理与伦理,1.67,I10,AI风险评估体系,3,3,3,优化期,1.67,建立AI模型风险的识别、评估和缓解机制
ENT-046,企业BU,治理与伦理,1.67,I10,AI风险评估体系,3,3,3,优化期,1.67,建立AI模型风险的识别、评估和缓解机制
ENT-016,企业AQ,数据基础,1.33,I03,数据质量治理项目,5,4,6,基础期,1.66,建立数据质量标准和清洗流程
ENT-041,企业BP,人才与组织,1.1,I08,全员AI素养培训,3,2,3,建设期,1.65,分层次开展AI认知、工具使用、场景创新培训
ENT-001,企业AB,治理与伦理,1.24,I09,建立AI治理框架,4,3,4,建设期,1.65,制定AI使用规范、审核流程和责任机制
ENT-000,企业AA,治理与伦理,1.1,I15,AI伦理审查委员会,3,2,3,优化期,1.65,组建跨部门伦理审查团队，定期审核AI应用
ENT-012,企业AM,文化与创新,1.24,I12,AI创新孵化器,4,3,5,优化期,1.65,设立内部创新基金和快速实验机制
ENT-033,企业BH,人才与组织,1.23,I07,AI人才引进计划,4,3,4,基础期,1.64,招募数据科学家、ML工程师等核心人才
ENT-012,企业AM,人才与组织,1.23,I07,AI人才引进计划,4,3,4,基础期,1.64,招募数据科学家、ML工程师等核心人才
ENT-020,企业AU,数据基础,1.63,I14,数据开放与共享机制,3,3,4,建设期,1.63,建立内部数据共享目录和API标准
ENT-010,企业AK,数据基础,1.63,I14,数据开放与共享机制,3,3,4,建设期,1.63,建立内部数据共享目录和API标准
ENT-019,企业AT,治理与伦理,1.63,I10,AI风险评估体系,3,3,3,优化期,1.63,建立AI模型风险的识别、评估和缓解机制
ENT-001,企业AB,数据基础,1.3,I03,数据质量治理项目,5,4,6,基础期,1.62,建立数据质量标准和清洗流程
ENT-045,企业BT,数据基础,1.3,I03,数据质量治理项目,5,4,6,基础期,1.62,建立数据质量标准和清洗流程
ENT-035,企业BJ,人才与组织,1.07,I08,全员AI素养培训,3,2,3,建设期,1.6,分层次开展AI认知、工具使用、场景创新培训
ENT-000,企业AA,文化与创新,1.2,I12,AI创新孵化器,4,3,5,优化期,1.6,设立内部创新基金和快速实验机制
ENT-029,企业BD,文化与创新,1.2,I12,AI创新孵化器,4,3,5,优化期,1.6,设立内部创新基金和快速实验机制
ENT-018,企业AS,治理与伦理,1.2,I09,建立AI治理框架,4,3,4,建设期,1.6,制定AI使用规范、审核流程和责任机制
ENT-026,企业BA,文化与创新,1.2,I12,AI创新孵化器,4,3,5,优化期,1.6,设立内部创新基金和快速实验机制
ENT-037,企业BL,技术能力,1.6,I05,部署MLOps平台,4,4,6,建设期,1.6,实现模型开发、部署、监控的全流程自动化
ENT-030,企业BE,人才与组织,1.07,I08,全员AI素养培训,3,2,3,建设期,1.6,分层次开展AI认知、工具使用、场景创新培训
ENT-011,企业AL,人才与组织,1.2,I07,AI人才引进计划,4,3,4,基础期,1.6,招募数据科学家、ML工程师等核心人才
ENT-008,企业AI,治理与伦理,1.2,I09,建立AI治理框架,4,3,4,建设期,1.6,制定AI使用规范、审核流程和责任机制
ENT-049,企业BX,治理与伦理,1.6,I10,AI风险评估体系,3,3,3,优化期,1.6,建立AI模型风险的识别、评估和缓解机制
ENT-021,企业AV,技术能力,1.6,I05,部署MLOps平台,4,4,6,建设期,1.6,实现模型开发、部署、监控的全流程自动化
ENT-002,企业AC,数据基础,1.27,I03,数据质量治理项目,5,4,6,基础期,1.59,建立数据质量标准和清洗流程
ENT-027,企业BB,数据基础,1.27,I03,数据质量治理项目,5,4,6,基础期,1.59,建立数据质量标准和清洗流程
ENT-008,企业AI,数据基础,1.27,I03,数据质量治理项目,5,4,6,基础期,1.59,建立数据质量标准和清洗流程
ENT-026,企业BA,数据基础,1.57,I14,数据开放与共享机制,3,3,4,建设期,1.57,建立内部数据共享目录和API标准
ENT-028,企业BC,技术能力,1.57,I05,部署MLOps平台,4,4,6,建设期,1.57,实现模型开发、部署、监控的全流程自动化
ENT-010,企业AK,技术能力,1.57,I05,部署MLOps平台,4,4,6,建设期,1.57,实现模型开发、部署、监控的全流程自动化
ENT-042,企业BQ,文化与创新,1.17,I12,AI创新孵化器,4,3,5,优化期,1.56,设立内部创新基金和快速实验机制
ENT-032,企业BG,文化与创新,1.17,I12,AI创新孵化器,4,3,5,优化期,1.56,设立内部创新基金和快速实验机制
ENT-004,企业AE,文化与创新,1.17,I12,AI创新孵化器,4,3,5,优化期,1.56,设立内部创新基金和快速实验机制
ENT-045,企业BT,治理与伦理,1.17,I09,建立AI治理框架,4,3,4,建设期,1.56,制定AI使用规范、审核流程和责任机制
ENT-017,企业AR,数据基础,1.24,I03,数据质量治理项目,5,4,6,基础期,1.55,建立数据质量标准和清洗流程
ENT-004,企业AE,人才与组织,1.16,I07,AI人才引进计划,4,3,4,基础期,1.55,招募数据科学家、ML工程师等核心人才
ENT-007,企业AH,技术能力,1.53,I05,部署MLOps平台,4,4,6,建设期,1.53,实现模型开发、部署、监控的全流程自动化
ENT-005,企业AF,数据基础,1.53,I14,数据开放与共享机制,3,3,4,建设期,1.53,建立内部数据共享目录和API标准
ENT-033,企业BH,数据基础,1.53,I14,数据开放与共享机制,3,3,4,建设期,1.53,建立内部数据共享目录和API标准
ENT-024,企业AY,治理与伦理,1.53,I10,AI风险评估体系,3,3,3,优化期,1.53,建立AI模型风险的识别、评估和缓解机制
ENT-015,企业AP,数据基础,1.9,I04,搭建数据中台,4,5,9,建设期,1.52,统一数据资产管理，打破数据孤岛
ENT-037,企业BL,人才与组织,1.13,I07,AI人才引进计划,4,3,4,基础期,1.51,招募数据科学家、ML工程师等核心人才
ENT-014,企业AO,文化与创新,1.13,I12,AI创新孵化器,4,3,5,优化期,1.51,设立内部创新基金和快速实验机制
ENT-029,企业BD,治理与伦理,1.5,I10,AI风险评估体系,3,3,3,优化期,1.5,建立AI模型风险的识别、评估和缓解机制
ENT-047,企业BV,治理与伦理,1.5,I10,AI风险评估体系,3,3,3,优化期,1.5,建立AI模型风险的识别、评估和缓解机制
